,배후수요,경쟁강도,수익성
배후수요,1.0,-0.5212328421849592,0.6463124543488566
경쟁강도,-0.5212328421849592,1.0,-0.494715149587486
수익성,0.6463124543488566,-0.494715149587486,1.0
